"","ENSG00000000003","ENSG00000000005","ENSG00000000419","ENSG00000000457","ENSG00000000460","ENSG00000000938","ENSG00000000971","ENSG00000001036","ENSG00000001084","ENSG00000001167","ENSG00000001460","ENSG00000001461","ENSG00000001497","ENSG00000001561","ENSG00000001617","ENSG00000001626","ENSG00000001629","ENSG00000001631","ENSG00000002016","ENSG00000002330","ENSG00000002549","ENSG00000002586","ENSG00000002587","ENSG00000002726","ENSG00000002745","ENSG00000002746","ENSG00000002822","ENSG00000002834","ENSG00000002919","ENSG00000002933","ENSG00000003056","ENSG00000003096","ENSG00000003137","ENSG00000003147","ENSG00000003249","ENSG00000003393","ENSG00000003400","ENSG00000003402","ENSG00000003436","ENSG00000003509","ENSG00000003756","ENSG00000003987","ENSG00000003989","ENSG00000004059","ENSG00000004139","ENSG00000004142","ENSG00000004399","ENSG00000004455","ENSG00000004468","ENSG00000004478"
"HCT116",7.56750990702129,2.78033124867985,10.1426279093944,4.16067191485663,3.29966745682148,3.24743756849404,3.00496644437583,8.3316369138245,6.86276280852072,5.22094692806299,3.64007058556294,6.41111264355136,3.78383205414128,5.84860370248281,4.09789865015383,2.99775049501695,7.72687491555088,3.48658689681518,4.1469344112487,6.14115934824839,6.75713391091154,7.98878409910468,7.58315022662866,3.33149297712698,5.26018699220453,3.01600392386226,4.8594196537223,4.29158736877507,5.1261981040253,3.2510071163846,8.83374997389729,3.94069876088528,3.71914728219535,6.54653189635737,4.54663639922457,3.77067463333361,3.15234942235,4.72342408032513,7.55129306933756,5.86571570306703,8.22090860918617,3.22130512747985,4.9202103490666,9.21117021241835,3.22616131467817,6.78598888877111,4.56288535311418,7.23264599870427,3.23535474659522,5.13354675793876
"KYSE450",7.44013764040561,2.78970332063889,10.7291026591983,3.96973481722563,3.21304860672605,3.28919925221356,3.47649613127954,8.31795968453413,6.4744916327886,4.33098238987357,3.66970349125377,6.62025503105505,4.63379088507316,3.81086081996714,3.80911211427873,2.9737154078511,8.50281170049698,3.38259236673163,3.50433411515487,7.27818149990308,6.36576087081795,7.73876600180059,3.22739289368927,3.49768658571201,3.07022306835187,2.81427549618791,6.03175917338727,4.57536710031857,5.7085797009007,2.93934786206278,9.94543667813304,5.71530717008662,3.06769611839333,7.15306541810702,4.07850763719027,3.49775020400644,2.93734968869305,4.10653968350678,3.37304466824173,6.18512444099019,7.79890339047092,3.30600192733437,4.91570648497643,10.1163375531855,2.9824087647041,8.54665782816898,4.86839862466923,6.7558450365878,2.75184978902468,6.58102996713147
"NCIH2052",6.92477619665461,2.81089640808642,10.4743674345454,3.46699538494793,2.95622212842334,3.22700697610382,4.66919888580405,8.01957999601291,4.59703617503775,4.79995911458936,4.06984000357171,8.15880141172149,4.19947676030165,3.43874493725215,3.68002267489196,2.9670454709561,7.37445082638276,3.14223534094231,3.68365798428599,9.04204192763541,6.0263437490205,10.1024033255269,3.43989981622545,3.33787714138519,2.85974308734886,2.64395028293151,4.59556206182085,4.94964586710266,5.80307291550766,2.95110930848197,8.76843449073721,3.18929753530899,3.53426186787558,3.3183255654279,3.61461226486124,3.9092045128174,3.05773390936374,7.17003184298024,9.69456145718584,6.44511500652711,7.44561035302024,3.32031580882696,4.39637752566801,8.36086232473222,4.63096373630756,7.76654601022934,4.86797179102976,6.03597165760876,3.01684482625282,4.10374295150187
"LOXIMVI",7.56833933467604,2.66480408115736,10.429935092313,3.57150371386075,3.11116489521013,3.31781830215422,3.26098081933142,7.32745714272381,6.06536004156991,5.395121408223,4.39755978939747,7.00425284071284,4.14508726269941,3.48679975010722,3.73483562434857,3.04113092554305,7.91128597027781,3.53448343402247,3.81090170453777,7.06891956874251,6.79278447056738,7.66021442289156,2.93492100791355,3.17958692362248,2.8311006289576,2.78442205208898,7.495375093766,4.61894956482232,5.28595181621572,3.03557146384493,9.50227975227461,3.25556247546735,2.94944768622643,3.3396796130973,3.42517443570156,4.15851915745587,2.74555787520629,5.3067368593814,9.65342437859502,6.42912116036172,7.11418795626647,3.40556544392688,3.01601005462569,7.88415602133812,3.13683088072546,7.8372957441227,3.41501396724933,6.51939133736514,2.86284065136505,4.8876240887147
"HOS",7.42937010783433,2.74282923445328,10.2946430141871,3.71855247396544,3.50744464645367,3.44661391165715,6.62157589155487,7.79766079106307,5.57337169048101,4.53028363075829,3.33023246061861,5.76603490839498,3.84527243805815,5.47381774928559,4.41219188866059,2.96920407121984,8.32036053137099,4.18419903513421,3.76002787568796,5.7797023775662,4.61290855923376,10.1210318647457,2.98345150798843,3.30857316122567,2.82948711945103,2.76398759836061,6.30187111850006,4.70662865633071,5.1603304142515,2.94734862860011,9.04538377490477,5.46804627932454,2.85516520071973,4.93755753797944,3.45724155468517,4.53673448517998,2.84309021097726,5.15940092560187,9.10750295110738,5.85043174309254,8.85840109873021,3.3497258768006,5.7574212061054,7.92401211873126,3.7740947369234,7.33388512984768,6.19315140288046,6.18244968006359,2.69753985991705,3.92413932950635
"NCIH28",6.06278398703872,3.29261049764923,9.93348758280332,3.96130739094438,3.77090574352718,3.36627861092776,3.42694390327068,7.7513639622393,7.87910458680416,4.87089738309557,3.21501249264318,3.99249610174329,4.25136192871719,4.45044722030967,4.4035417534009,3.23525518578699,8.78423969810554,3.64828829722782,3.44683066263803,6.02616870823143,5.86553279617154,8.76855454729816,3.81651317253932,3.40638910858926,2.90238833502889,2.90602103163545,7.05735458272999,4.86149446230019,4.58896155719815,3.18867010240172,9.89074604728509,4.23759825713597,3.86194312084493,3.84854419287444,4.1654232209406,4.00177544064707,3.01628559004647,5.86218833194477,3.96090580913809,6.21042465040813,8.33776108562959,3.44186402413271,3.87584772888543,8.24520402721686,3.37279462070146,7.25149420049992,5.54032867867058,6.69863219115228,2.78637497794812,4.91713058472931
"NCIH358",8.57436101633204,2.86115473355908,10.1486035801885,5.20733863349117,3.37392962941079,2.98336770384537,7.22697619448096,7.44955201737409,6.80287970413193,5.7433491231476,4.03128152229324,8.35323235801729,3.65922347381357,6.40213684465675,3.65552286556394,3.14634690697302,8.41128865489636,3.63550673171124,3.27716971658794,6.6252478734378,5.92078625112927,7.93953197147991,6.78330397992947,3.32003909267319,2.79223870315248,2.67603166453261,5.18284367755534,4.29751646417142,4.28179352562689,3.08117261190807,9.23212835875591,5.61564793603461,3.42040722605271,6.53312516048194,3.68873722153384,3.62269063130426,3.06875433753116,5.68105600225678,9.40440142500881,6.09367960384387,7.79288994278417,3.30141282091366,2.84151235652617,7.72783511017977,3.49859562454385,6.81127297677487,4.29248996056961,6.19634803653007,2.92453960156621,4.28333744928302
"BECKER",6.25418721997489,2.68742982611528,10.1210509128334,4.19091187591831,2.9592049168734,3.29595542302971,3.55134139219811,7.86997107682579,5.17355606618109,4.78433665326054,3.84125341671155,7.44058859264963,3.92781765840553,3.51141251869213,4.379793987109,3.00568939466996,8.74705406784048,3.80070762113815,3.5521024334115,7.76772470721179,6.27544341567229,10.1968145646471,4.12472131168828,3.05771930580377,2.91411551916525,3.01795684185654,5.03450640345937,4.04259893455427,5.10807239835844,3.46085692373099,8.63039693540934,6.59256336462415,3.45184106562742,3.20278567188103,3.38522265959788,3.8811615636581,2.86261352059041,6.01318590570408,8.74815422083595,6.03285645744858,8.09598794148539,3.40835111604949,5.94126728408191,9.00851031442783,5.39361651613816,7.48811123359085,6.44576256710567,5.50528245411409,3.00782389412825,4.03888137276615
"RS411",3.27667738209128,2.80719734437629,9.5189683462301,4.21148444262442,3.78353498987275,3.31167778210081,3.34507492785241,5.3759203828196,5.25956422569618,6.3817437963432,3.38986126188674,6.77199235131494,5.00856657250029,3.56352842812216,3.87282606036326,3.30709399706096,7.34312305881173,4.05401423394847,3.98726794659992,5.89766203927928,7.03320739151357,8.25143020096341,3.01412802404152,3.1244740866248,2.81845817156585,2.87831749354416,7.86827396185854,3.91134561890457,4.36400986632341,3.2551959102805,9.31968269973657,3.10785184471722,3.00967566901212,4.38621374947853,3.49502870775722,3.53015685631948,3.25401444088498,4.33674266095483,3.51965052619588,5.57461082662686,9.37905369201547,3.32553579886581,3.02340637518771,8.92474889408318,3.34074456735903,7.04160429062241,6.95677404538105,6.9795579169796,8.50179613234061,3.48558813565206
"NCIH727",6.6134595044599,2.78914251926374,9.57791453485932,4.28714138893162,3.29318214575286,3.11331116005821,3.38962333490051,8.23751288357645,5.65341972321024,4.53876327465969,4.21321553596146,8.37753582365523,3.58060110414577,5.52969236515098,5.25135577071631,3.07273744518138,8.1315069730803,3.74039578882958,3.61354803774854,7.43788869581931,5.5118387300062,10.8541568954674,4.88345086139237,9.55524859499339,2.82835642275129,2.8671460875042,4.69268925959953,3.93325805279949,5.01568728888011,10.1763161560759,8.3382085482668,3.38957363187014,3.78542605967929,7.88609275054652,3.82024358059894,3.83829704999625,2.84979038524359,5.24484221241858,9.7858393198036,5.3452890590005,7.67973721280102,3.23162593490821,6.17001982656195,8.32072354598849,4.06299699790383,7.48309606180719,5.8664381954303,5.98549709704142,2.78683579196353,4.33456642844363
